longueur,blanc 1,spectre 1,spectre 2,spectre 3,spectre 4,blanc 2
663.5294963737288,0.04321266196876396,0.057479641646941394,0.09614154658108715,0.1126758967562243,0.0825991632188577,0.04954134076023149
663.263076860743,0.04255125875562501,0.05820220249562764,0.09778931891651321,0.09695460674326178,0.09197489490211008,0.04085370835077997
662.9966573477574,0.03432969762091158,0.062022943331670195,0.09391943034955738,0.10697597505634561,0.09086873293996697,0.038761405385804214
662.7302378347716,0.03479164516844234,0.07021633664722737,0.08541818485304731,0.10647489308916197,0.09597882632616808,0.046787494558718175
662.463818321786,0.024771690954390618,0.0650604185374998,0.09187663615652061,0.08910279014772737,0.09628481504473498,0.03285519515434364
662.1973988088002,0.024579605871423958,0.05776596791244561,0.08565144306236253,0.09102898200870542,0.09323964575033503,0.03921128153964995
661.9309792958146,0.025094896466101725,0.053305593615665545,0.0741054604001795,0.08749265091945464,0.08013147641267976,0.04226041406477352
661.6645597828289,0.013006375038085055,0.06212494973297979,0.07226201720297751,0.10005547275777069,0.07633343560432737,0.0365744188603895
661.3981402698432,0.02084962474614451,0.06434439228137405,0.07012906857871695,0.09624568449188213,0.0736610416424416,0.040159820551313986
661.1317207568575,0.016512228508588637,0.06688747672702378,0.06739095716281292,0.1004534639615207,0.06371291156919909,0.03850470021741546
660.8653012438718,0.028623180490495986,0.0739344156894855,0.05293469054005539,0.0869899955852025,0.057543242896472675,0.041928559210550914
660.5988817308861,0.025287845889917924,0.07465789982204449,0.052152967085569824,0.09084090530484651,0.06383622638054991,0.03529701458644895
660.3324622179003,0.019529684475616364,0.06700873880147276,0.05955436825992624,0.09018461760248674,0.0752283313500907,0.028622732923839544
660.0660427049147,0.013985123650727875,0.06799990536227025,0.055752362019636,0.09637682361200021,0.07871882070720959,0.020610230860366233
659.799623191929,0.010366739437489092,0.07165325002833468,0.06076104586148437,0.08280543464422427,0.07316733123777772,0.01896320483506955
659.5332036789433,0.014252463780327209,0.05557523424057924,0.0582563280147386,0.0787693971296125,0.07252801830853524,0.010033175147837903
659.2667841659576,0.005439556904826004,0.05302982886818244,0.050149759731578245,0.07535007296656261,0.08064306368424934,0.007372316107493303
659.0003646529719,0.003570411875424395,0.053460408689436446,0.05040832275014931,0.0585115272777712,0.09331530397239757,0.004901234168652083
658.7339451399862,0.008173523727296548,0.038524938041759035,0.05365271182492531,0.059111799686642756,0.10481029441857544,0.00236993208856932
658.4675256270006,0.008306030197468655,0.028177695013049592,0.06033909262976181,0.06640130990483424,0.09643064330223063,0.008883577324276486
658.2011061140148,0.00673491986363492,0.0402645300305299,0.05868975461214445,0.06842427180248034,0.0988477881648132,0.00847439379199606
657.9346866010292,0.000793708285324026,0.03885768458308434,0.06336653638994946,0.06707315853551375,0.10174800603404312,0.013324775368848433
