Extraction [ img/s4/seq3/mys3.jpg ] effectuee 2026-05-28 17:44:50.882411
Calibration: -0.2664195129856975*x + 663.5294963737288 [largueur 2619 + 934]

pixel, longueur d'onde, intensite, r, g, b
0, 663.5294963737288, 85.86395699999998, 169.93, 44.38, 79.13
1, 663.263076860743, 86.885164, 171.66, 44.93, 80.72
2, 662.9966573477574, 86.532426, 171.34, 44.56, 80.37
3, 662.7302378347716, 86.490548, 171.72, 44.2, 80.86
4, 662.463818321786, 87.42979200000003, 172.78, 45.07, 81.84
5, 662.1973988088002, 88.35912900000001, 175.11, 45.09, 83.78
6, 661.9309792958146, 87.636366, 174.44, 44.33, 83.11
7, 661.6645597828289, 88.81922100000003, 176.09, 45.2, 84.68
8, 661.3981402698432, 89.82509899999997, 177.11, 46.2, 85.68
9, 661.1317207568575, 90.42373299999997, 178.87, 46.11, 86.78
10, 660.8653012438718, 89.65103700000007, 178.13, 45.32, 86.01
11, 660.5988817308861, 90.80523200000002, 180.38, 45.69, 88.33
12, 660.3324622179003, 91.06243300000004, 180.67, 45.93, 88.59
13, 660.0660427049147, 91.91416100000001, 182.49, 46.06, 90.62
14, 659.799623191929, 92.314121, 182.89, 46.46, 91.02
15, 659.5332036789433, 92.79371899999998, 184.81, 46.01, 92.51
16, 659.2667841659576, 93.120805, 185.15, 46.33, 92.84
17, 659.0003646529719, 93.47905799999998, 186.42, 46.08, 93.94
18, 658.7339451399862, 93.76511600000002, 186.74, 46.35, 94.22
19, 658.4675256270006, 94.10799400000002, 187.66, 46.32, 94.97
20, 658.2011061140148, 93.97990200000004, 187.58, 46.16, 94.88
21, 657.9346866010292, 94.597138, 189.12, 46.07, 96.72
22, 657.6682670880434, 94.537406, 189.14, 45.96, 96.71
23, 657.4018475750577, 95.13801100000002, 190.69, 45.99, 97.76
24, 657.135428062072, 95.19800500000001, 190.75, 46.05, 97.82
25, 656.8690085490863, 96.37224599999995, 192.84, 46.59, 99.86
26, 656.6025890361007, 96.79530099999994, 193.29, 47.0, 100.28
27, 656.3361695231149, 97.16595599999997, 194.84, 46.58, 101.63
28, 656.0697500101293, 97.00629599999996, 194.74, 46.39, 101.47
29, 655.8033304971435, 97.85779699999999, 197.03, 46.29, 103.45
30, 655.5369109841579, 97.44691399999998, 196.66, 45.86, 103.03
31, 655.2704914711721, 97.842269, 198.31, 45.47, 104.18
32, 655.0040719581864, 97.65940599999996, 198.14, 45.28, 104.0
33, 654.7376524452008, 97.73537799999997, 199.12, 44.79, 104.62
34, 654.471232932215, 97.285423, 198.67, 44.34, 104.17
35, 654.2048134192294, 96.94352900000004, 198.71, 43.71, 104.31
36, 653.9383939062436, 97.08980099999995, 198.99, 43.77, 104.55
37, 653.671974393258, 97.87819900000001, 201.61, 43.41, 106.45
38, 653.4055548802722, 97.93469599999999, 201.84, 43.36, 106.6
39, 653.1391353672866, 97.39251700000001, 201.83, 42.49, 106.35
40, 652.8727158543008, 97.422514, 201.86, 42.52, 106.38
41, 652.6062963413152, 97.738155, 203.05, 42.31, 107.11
42, 652.3398768283295, 97.71815700000003, 203.03, 42.29, 107.09
43, 652.0734573153437, 98.18233499999998, 204.65, 42.05, 108.15
44, 651.8070378023581, 97.90236300000002, 204.37, 41.77, 107.87
45, 651.5406182893723, 98.15215699999997, 205.93, 41.24, 108.7
46, 651.2741987763867, 97.67220499999998, 205.45, 40.76, 108.22
47, 651.007779263401, 98.00586999999997, 207.0, 40.31, 109.4
48, 650.7413597504153, 97.93131699999999, 206.93, 40.24, 109.29
49, 650.4749402374296, 97.92384999999999, 208.0, 39.63, 109.56
50, 650.2085207244439, 97.82108699999999, 207.93, 39.51, 109.46
51, 649.9421012114582, 97.82803499999996, 208.35, 39.24, 109.81
52, 649.6756816984725, 97.78184600000004, 208.34, 39.18, 109.74
53, 649.4092621854868, 98.17603800000002, 210.52, 38.59, 110.52
54, 649.142842672501, 98.14533299999995, 210.57, 38.52, 110.48
55, 648.8764231595154, 98.47069399999998, 211.26, 38.62, 111.01
56, 648.6100036465297, 98.07073399999999, 210.86, 38.22, 110.61
57, 648.343584133544, 98.19539399999998, 211.76, 37.91, 110.94
58, 648.0771646205583, 98.03541000000003, 211.6, 37.75, 110.78
59, 647.8107451075726, 97.46051299999999, 212.17, 36.56, 110.37
60, 647.5443255945869, 98.07056000000006, 212.8, 37.16, 110.98
61, 647.2779060816013, 97.86471500000003, 213.85, 36.23, 111.21
62, 647.0114865686155, 97.33509199999997, 213.38, 35.67, 110.68
63, 646.7450670556299, 97.76584199999999, 215.08, 35.41, 111.34
64, 646.4786475426441, 97.78420700000002, 215.13, 35.41, 111.37
65, 646.2122280296584, 97.87638899999997, 216.21, 34.92, 111.87
66, 645.9458085166727, 97.69309499999991, 216.05, 34.73, 111.66
67, 645.679389003687, 98.29935399999995, 217.16, 35.05, 112.42
68, 645.4129694907014, 98.10361199999997, 217.08, 34.8, 112.2
69, 645.1465499777156, 98.649762, 219.38, 34.4, 113.02
70, 644.88013046473, 97.911578, 218.72, 33.63, 112.24
71, 644.6137109517442, 98.28012500000001, 219.25, 33.92, 112.59
72, 644.3472914387586, 98.03672900000004, 219.01, 33.68, 112.32
73, 644.0808719257728, 98.50112599999994, 220.14, 33.82, 112.71
74, 643.8144524127872, 97.950211, 219.59, 33.28, 112.1
75, 643.5480328998015, 98.69447499999997, 221.25, 33.59, 112.68
76, 643.2816133868157, 98.036991, 220.59, 32.94, 111.99
77, 643.0151938738301, 98.63756599999999, 222.04, 33.05, 112.89
78, 642.7487743608443, 98.46476400000002, 221.86, 32.89, 112.67
79, 642.4823548478587, 98.46125999999998, 222.9, 32.37, 112.59
80, 642.2159353348729, 98.02147399999998, 222.46, 31.94, 112.1
81, 641.9495158218873, 98.50240000000004, 223.3, 32.25, 112.52
82, 641.6830963089016, 98.514849, 223.31, 32.27, 112.5
83, 641.4166767959159, 98.57324599999994, 224.04, 31.99, 112.54
84, 641.1502572829302, 98.42336900000002, 223.91, 31.83, 112.39
85, 640.8838377699444, 99.37395599999996, 225.44, 32.48, 113.37
86, 640.6174182569588, 98.48828199999998, 224.58, 31.58, 112.49
87, 640.350998743973, 99.42198100000002, 225.79, 32.37, 113.44
88, 640.0845792309874, 99.83193999999999, 226.2, 32.78, 113.85
89, 639.8181597180017, 99.79002299999996, 226.37, 32.69, 113.5
90, 639.551740205016, 99.82001999999994, 226.4, 32.72, 113.53
91, 639.2853206920303, 99.92385699999997, 227.23, 32.55, 113.14
92, 639.0189011790446, 99.947445, 227.25, 32.58, 113.14
93, 638.7524816660589, 100.31239799999999, 228.12, 32.85, 112.67
94, 638.4860621530732, 100.23599599999997, 228.04, 32.78, 112.57
95, 638.2196426400875, 100.72950599999999, 229.44, 32.97, 112.25
96, 637.9532231271018, 100.86738199999998, 229.58, 33.12, 112.32
97, 637.6868036141161, 101.36800500000003, 230.55, 33.51, 112.16
98, 637.4203841011304, 101.21932999999994, 230.4, 33.37, 111.97
99, 637.1539645881447, 101.55199500000002, 230.65, 33.79, 112.07
100, 636.887545075159, 102.14414700000002, 231.33, 34.47, 111.98
101, 636.6211255621733, 103.217618, 233.52, 35.17, 112.05
102, 636.3547060491876, 102.853223, 233.17, 34.91, 111.11
103, 636.088286536202, 103.74936800000003, 234.72, 35.56, 111.56
104, 635.8218670232162, 103.663676, 234.64, 35.48, 111.43
105, 635.5554475102306, 104.68320199999995, 236.48, 36.21, 111.79
106, 635.2890279972448, 104.308095, 236.15, 35.84, 111.27
107, 635.0226084842591, 104.99605500000003, 237.75, 36.24, 111.05
108, 634.7561889712734, 104.49840199999996, 237.28, 35.75, 110.44
109, 634.4897694582877, 105.070381, 238.99, 35.91, 110.15
110, 634.2233499453021, 104.75851800000002, 238.72, 35.59, 109.77
111, 633.9569304323163, 104.90537900000001, 240.11, 35.28, 109.01
112, 633.6905109193307, 104.67340000000004, 239.9, 35.05, 108.71
113, 633.4240914063449, 104.93933600000003, 240.94, 35.09, 108.11
114, 633.1576718933593, 104.68447800000006, 240.72, 34.83, 107.79
115, 632.8912523803735, 104.90392100000003, 241.29, 34.9, 107.86
116, 632.6248328673878, 104.92865100000003, 241.49, 34.85, 107.81
117, 632.3584133544022, 106.442142, 244.68, 35.67, 108.5
118, 632.0919938414164, 105.76455500000002, 244.25, 34.89, 107.7
119, 631.8255743284308, 105.97449399999996, 244.96, 34.89, 107.68
120, 631.559154815445, 106.01330499999993, 245.05, 34.92, 107.63
121, 631.2927353024594, 106.36379100000002, 246.39, 34.86, 107.5
122, 631.0263157894736, 106.92254999999997, 247.0, 35.41, 107.97
123, 630.759896276488, 107.08012700000005, 248.03, 35.22, 107.63
124, 630.4934767635023, 107.10345400000006, 248.06, 35.26, 107.55
125, 630.2270572505166, 107.59278600000009, 249.14, 35.6, 107.26
126, 629.9606377375309, 107.00965900000003, 248.81, 34.93, 106.46
127, 629.6942182245452, 107.67590500000006, 249.65, 35.68, 106.24
128, 629.4277987115595, 108.18253999999999, 250.0, 36.26, 106.78
129, 629.1613791985737, 108.67339200000002, 250.58, 36.83, 106.63
130, 628.8949596855881, 108.85614900000002, 250.91, 36.95, 106.75
131, 628.6285401726024, 109.12874400000003, 250.96, 37.42, 106.59
132, 628.3621206596167, 109.02725199999998, 251.08, 37.32, 105.9
133, 628.095701146631, 109.614736, 251.74, 38.01, 105.77
134, 627.8292816336453, 110.578866, 252.44, 39.23, 106.11
135, 627.5628621206596, 110.52911300000004, 252.47, 39.33, 105.08
136, 627.296442607674, 110.72099099999997, 252.49, 39.67, 104.96
137, 627.0300230946882, 111.54479099999992, 253.39, 40.72, 104.42
138, 626.7636035817025, 111.66703599999995, 253.64, 40.9, 103.91
139, 626.4971840687168, 112.00638300000004, 253.77, 41.61, 102.89
140, 626.2307645557311, 112.50368600000002, 254.04, 42.31, 102.94
141, 625.9643450427454, 112.97643900000004, 254.21, 43.19, 102.11
142, 625.6979255297597, 113.23321000000006, 254.2, 43.65, 102.02
143, 625.431506016774, 113.74383200000003, 254.38, 44.57, 101.29
144, 625.1650865037883, 113.98085599999993, 254.54, 44.97, 100.89
145, 624.8986669908027, 114.34323400000007, 254.56, 45.75, 100.0
146, 624.6322474778169, 114.196396, 254.44, 45.66, 99.49
147, 624.3658279648313, 114.632998, 254.42, 46.48, 99.15
