longueur,spectre 0,spectre 1,spectre 2
757.6124327252791,0.4017008437733127,0.5075120297875956,0.5394504123610433
757.2069352573066,0.3546951899575407,0.6050814826909304,0.5124819083196638
756.801437789334,0.3819877323168447,0.5704518907928784,0.4958585242411374
756.3959403213614,0.39181008885626495,0.5460008228054661,0.43437139256319535
755.9904428533889,0.3676097310913025,0.481152764692962,0.5022358507854808
755.5849453854164,0.3825500268926904,0.4904082178694733,0.6236502460913992
755.1794479174439,0.3513440257323133,0.4460475026676956,0.6761472205866041
754.7739504494714,0.31583166909107563,0.4432778817902935,0.4954838893330213
754.3684529814989,0.33788942586286774,0.37854710883819637,0.5262143762622933
753.9629555135263,0.35569774360865997,0.43753708002461467,0.6698014300260938
753.5574580455537,0.3540651349249791,0.4554576902707817,0.6582574794609168
753.1519605775812,0.3508927947850588,0.4627717748771325,0.6112948965632418
752.7464631096087,0.3377593809182661,0.403125938053603,0.5064373886682537
752.3409656416362,0.3056933517722217,0.3882277533582583,0.6666538973184344
751.9354681736637,0.34430969380722765,0.441543009158462,0.5026424647069491
751.5299707056911,0.3678021741605241,0.3943742642466035,0.7229676546970142
751.1244732377186,0.2816234242224971,0.3660803185104613,0.5524343838661976
750.7189757697461,0.2581794209944347,0.410130581041368,0.5307037445326227
750.3134783017736,0.2708053751114889,0.36826358667731174,0.5242190758345232
749.907980833801,0.24884787912696182,0.3282971385788704,0.493119383348996
749.5024833658285,0.27724834287868005,0.357087253524856,0.625027650300273
749.0969858978559,0.249031040063291,0.3079752641394403,0.6455317883781386
748.6914884298834,0.27289177694153777,0.3996869226986115,0.5130438070229546
748.2859909619109,0.24953366735084506,0.25138491493444715,0.5386517576523475
747.8804934939384,0.21676673566159108,0.3411697649793539,0.5873511109255056
747.4749960259659,0.277329118425515,0.2936715555577838,0.5089092027664998
747.0694985579933,0.24678805082290947,0.26846082001157606,0.5411746432927869
746.6640010900207,0.26918814052277573,0.2385785026835832,0.6138380442847458
746.2585036220482,0.22570569375202798,0.27333105759369236,0.6392320122488049
745.8530061540757,0.2364090563565666,0.2190869484599563,0.41280178352632574
745.4475086861032,0.24601003907864866,0.23040373596918826,0.5150191758679545
745.0420112181307,0.2356125470696743,0.262398061675668,0.5701685801377503
744.6365137501581,0.19570505940280974,0.31797852241852986,0.5050403675448815
