longueur,spectre 0
663.5294963737288,0.08955463354257506
663.263076860743,0.08326118049200018
662.9966573477574,0.0861240166666461
662.7302378347716,0.07685021681961518
662.463818321786,0.06925471251499456
662.1973988088002,0.06154866829930689
661.9309792958146,0.06345043984497231
661.6645597828289,0.06217840262647789
661.3981402698432,0.06409777379545872
661.1317207568575,0.06187672355381339
660.8653012438718,0.07408127687326162
660.5988817308861,0.0678827811580739
660.3324622179003,0.07197537554357662
660.0660427049147,0.06361632019609803
659.799623191929,0.07476406687527477
659.5332036789433,0.06583309460943432
659.2667841659576,0.07068579645118196
659.0003646529719,0.06989906366616078
658.7339451399862,0.06934371485809863
658.4675256270006,0.07113720983970441
658.2011061140148,0.06826110443244696
657.9346866010292,0.06791583610269855
657.6682670880434,0.08230826478230985
657.4018475750577,0.0877436720970143
657.135428062072,0.0790980070273006
656.8690085490863,0.0790568485557227
656.6025890361007,0.07881771489269823
656.3361695231149,0.08593219811760565
656.0697500101293,0.0902694611546164
655.8033304971435,0.08656776247737094
655.5369109841579,0.08784361052183758
655.2704914711721,0.0754432892068356
655.0040719581864,0.07157308708311129
654.7376524452008,0.08564663364692177
654.471232932215,0.07562110482779325
654.2048134192294,0.07852557405614438
653.9383939062436,0.08329286472712834
653.671974393258,0.08463006265101004
653.4055548802722,0.08293930248081413
653.1391353672866,0.09122974513290193
652.8727158543008,0.08565203291305419
652.6062963413152,0.07961120121910809
652.3398768283295,0.07893799847941602
652.0734573153437,0.08390813869166786
651.8070378023581,0.08231895283144598
651.5406182893723,0.0854842821979947
651.2741987763867,0.08499147973405298
651.007779263401,0.08519584424725948
650.7413597504153,0.08919172699981456
650.4749402374296,0.08300784100914708
650.2085207244439,0.08204827984673982
649.9421012114582,0.08473301835670899
649.6756816984725,0.08388781096354658
649.4092621854868,0.08303164620337429
649.142842672501,0.08275929408546946
648.8764231595154,0.0981127593187757
648.6100036465297,0.09391442702811276
648.343584133544,0.09449167075470784
648.0771646205583,0.09599476171948615
647.8107451075726,0.09554760595657992
647.5443255945869,0.09557097001831452
647.2779060816013,0.10484086633587118
647.0114865686155,0.1077059378002868
646.7450670556299,0.09632905740142349
646.4786475426441,0.09803895669365352
646.2122280296584,0.09206541455454868
