longueur,spectre 0,spectre 1
675.7454192972824,-0.2054417516904014,0.23940680164751313
675.4856917375789,-0.22300504701212243,0.24498370692018268
675.2259641778753,-0.23592556557060623,0.26093061930920025
674.9662366181718,-0.2206335006679043,0.2408377196773493
674.7065090584682,-0.25357668704847164,0.2784393531290907
674.4467814987647,-0.22928022758667985,0.25816284002347284
674.1870539390611,-0.24802457221661475,0.27304530076584704
673.9273263793576,-0.24434710041339627,0.2692169857355498
673.6675988196541,-0.25250527762336394,0.28105821352856875
673.4078712599505,-0.22639021992559255,0.24467517957471466
673.148143700247,-0.2488964410077298,0.2809559803096564
672.8884161405434,-0.2563749147153803,0.2942115711256911
672.6286885808399,-0.23708243121477116,0.2705896801874974
672.3689610211363,-0.2257988617997295,0.2618916956888557
672.1092334614328,-0.2592816545080349,0.29136710890098433
671.8495059017293,-0.2260245104047496,0.25689539930876903
671.5897783420257,-0.22477709658905062,0.25949091864688983
671.3300507823222,-0.26896895989895037,0.28378845895252724
671.0703232226186,-0.2554736413213576,0.2872214205175915
670.8105956629151,-0.25883799522177275,0.2911582777251131
670.5508681032115,-0.2753390791747068,0.30863648410737554
670.291140543508,-0.2474843431347656,0.2819754746195475
670.0314129838046,-0.24832862410556125,0.2862208533685492
669.771685424101,-0.25536848621326835,0.27722116201409763
669.5119578643975,-0.2553078209333174,0.29228337461738835
669.2522303046939,-0.26881129258154507,0.29743668256131783
668.9925027449904,-0.25138443316590237,0.2835988276017201
668.7327751852868,-0.27060466476831496,0.30834810733037415
668.4730476255833,-0.2594821395862326,0.30204312187691906
668.2133200658798,-0.27975784862213626,0.30390509523224685
667.9535925061762,-0.27558777244097854,0.2970402573890818
667.6938649464727,-0.26190492935189574,0.295921531932222
667.4341373867691,-0.2717598982553874,0.3044885459824658
667.1744098270656,-0.25384072429125926,0.28398714596227104
666.914682267362,-0.2611283102564895,0.29611105445786007
666.6549547076585,-0.2838782447185199,0.31481276526449226
666.395227147955,-0.2689648865514592,0.2978718020980773
666.1354995882514,-0.26820935678885377,0.29272790984242886
665.8757720285479,-0.27431977076372716,0.30256421174560494
665.6160444688443,-0.27691078711678424,0.2988974647981531
665.3563169091408,-0.2692993619252425,0.29817045088408933
665.0965893494372,-0.28528544578843307,0.31863174682394835
664.8368617897337,-0.26546992549618886,0.2930078259796025
664.5771342300302,-0.2575134381728289,0.29447967894177335
664.3174066703266,-0.2562105008482096,0.2803297828986565
664.0576791106231,-0.26074853425989614,0.2866691893155646
663.7979515509195,-0.2677600783106262,0.30806036670071685
663.538223991216,-0.25380718256918605,0.27995382593181295
663.2784964315124,-0.2661561102247407,0.2871962775570828
663.0187688718089,-0.2716488463463947,0.3019778359248721
662.7590413121054,-0.2943042192285441,0.33687250128546053
662.4993137524018,-0.2760611202862177,0.3062624667314191
662.2395861926983,-0.2810379533991369,0.30470434568958443
661.9798586329947,-0.2823237337248509,0.3130783214462646
661.7201310732912,-0.2782502761221074,0.30154937328578785
661.4604035135876,-0.27607816329398005,0.3102590406774191
661.2006759538841,-0.26869366907412084,0.2941589360977597
660.9409483941806,-0.2654739033253665,0.2941813396174568
660.681220834477,-0.27236713849529526,0.3000349382033463
660.4214932747735,-0.2630986442516187,0.28931916095089827
660.1617657150699,-0.2627227726802389,0.30044419728576843
659.9020381553664,-0.2721856559436994,0.30318045569970964
659.6423105956628,-0.27773151187131334,0.2991463885510157
659.3825830359593,-0.2584099253694584,0.29129887143864563
659.1228554762558,-0.25857490525103183,0.285472263788725
658.8631279165522,-0.26554204737080606,0.29890326947202767
658.6034003568487,-0.2777338597115199,0.30441345699098243
658.3436727971451,-0.25849048952110865,0.2828272636919095
658.0839452374416,-0.284389479094574,0.3085896714177693
657.824217677738,-0.2599501382997953,0.28389460993328725
657.5644901180345,-0.2590706160708857,0.2903581015468908
657.304762558331,-0.26038560680996564,0.2939940997467259
657.0450349986274,-0.2625276374612511,0.29367826715017653
656.785307438924,-0.2730989903636989,0.3031190092512434
656.5255798792203,-0.27511006363866775,0.30449732936220764
656.2658523195169,-0.2615112687483189,0.28782972004857693
656.0061247598132,-0.24584764801457445,0.2724714477400476
655.7463972001098,-0.2571702388821942,0.2885915174417284
655.4866696404063,-0.26033782657021914,0.292736916828757
655.2269420807027,-0.2701267329928087,0.2938456275920105
654.9672145209992,-0.25858723322218263,0.2870079888136749
654.7074869612956,-0.25752830332716115,0.28376492991842767
654.4477594015921,-0.25941233561694516,0.28589712623190844
654.1880318418885,-0.25965993608819554,0.2933454992204989
653.928304282185,-0.25267899888590917,0.2806985022151443
653.6685767224815,-0.24397190015362183,0.273617977552947
653.4088491627779,-0.26092587581166093,0.289860240063407
653.1491216030744,-0.2538258309997686,0.28701805502743954
652.8893940433708,-0.24804335055906762,0.27558610467713135
652.6296664836673,-0.25813280184131604,0.284272463574393
652.3699389239637,-0.25851317609682256,0.2791380071369393
652.1102113642602,-0.2637369362854377,0.2920946381866818
651.8504838045567,-0.25733346633959425,0.27758584482852466
651.5907562448531,-0.24172854690874618,0.2624699422633604
651.3310286851496,-0.24627315325445567,0.27017826736604805
651.071301125446,-0.23800199905435676,0.263664731144043
650.8115735657425,-0.23656141366129987,0.2730169185538924
650.5518460060389,-0.24472314286045013,0.2722870575126894
650.2921184463354,-0.24820877536334557,0.27131366523245365
650.0323908866319,-0.2308625408435912,0.25410441950307544
649.7726633269283,-0.25091997766282753,0.2792184010388535
649.5129357672248,-0.2675523631251502,0.2848439999212149
649.2532082075212,-0.24774072238527872,0.2737487225866753
648.9934806478177,-0.24042050952249674,0.2661804631794248
648.7337530881141,-0.2630895857930424,0.28746952235011985
648.4740255284106,-0.24717518352689066,0.2777860403974583
648.2142979687071,-0.2316114213159536,0.2630804427703926
647.9545704090035,-0.2489518024524777,0.2747253999720419
647.6948428493,-0.23800759096166033,0.2612936218824157
647.4351152895964,-0.23461696920954825,0.25858158502165124
647.1753877298929,-0.2500698675099493,0.26661815332535926
646.9156601701893,-0.24742337247634547,0.275717440734033
646.6559326104858,-0.22340038202326373,0.2504171217402048
646.3962050507823,-0.23722561926026378,0.26485955769451447
646.1364774910787,-0.24752220351280474,0.26659324631898174
645.8767499313752,-0.2282397117061899,0.25145701567965745
