f(Hz)	|H|	Gain(dB)	Phase(rad)		
28000	0,0107174	-39,3982	-1,56983		
30000	0,00984025	-40,1399	-1,57117		
32000	0,00912569	-40,7947	-1,56975		
34000	0,00840644	-41,5078	-1,56873		
36000	0,00788251	-42,0667	-1,56819		
38000	0,00725162	-42,7913	-1,56627		
40000	0,00687412	-43,2557	-1,56723		
42000	0,00643036	-43,8353	-1,56656		
44000	0,00607452	-44,3298	-1,55962		
46000	0,00570019	-44,8822	-1,56124		
48000	0,00531827	-45,4846	-1,56285		
50000	0,00498603	-46,0449	-1,563		
52000	0,00468714	-46,5818	-1,56051		
54000	0,00448822	-46,9585	-1,56354		
56000	0,00423185	-47,4694	-1,56055		
58000	0,00397498	-48,0133	-1,55932		
60000	0,00365758	-48,7361	-1,55756		
