longitude	latitude	temperature moyenne
-69.515682395	32.7169	-7.22222222222
-82.2666159508	38.0386	6.11111111111
-82.6370326254	33.0875	8.88888888889
-81.8537548725	34.5119	7.77777777778
-90.5917485625	32.835	10.5555555556
-90.5485901408	34.2529	10.0
-63.0512013723	39.013	-10.5555555556
-70.1109354062	40.0528	-6.66666666667
-62.748775079	35.9705	1.11111111111
-68.4756517006	31.0425	10.5555555556
-64.5542886108	27.1526	8.33333333333
-76.6555451163	43.7346	0.0
-69.0048421792	32.3349	6.66666666667
-59.2925867867	41.00889	-8.33333333333
-92.0468379239	36.624	7.22222222222
-86.2125967948	42.6754	1.11111111111
-70.4904756442	41.843	-6.66666666667
-64.5141449318	25.8996	12.2222222222
-87.6991822838	36.6823	2.22222222222
-68.9582723381	46.3345	-6.66666666667
-82.2995401145	42.4247	2.77777777778
-85.782757955	39.7608	2.22222222222
-92.9733952901	33.4392	13.3333333333
-57.1368632899	44.42	-20.0
-72.8149215959	35.8201	2.22222222222
-76.0622754884	48.3055	-2.22222222222
-78.6447834147	45.71145	-0.555555555556
-83.7312255523	40.0354	-1.11111111111
-86.6485444553	36.292	1.11111111111
-71.5396061014	44.0604	-3.33333333333
-87.6724462762	31.5907	10.5555555556
-85.0624724574	36.7499	-5.0
-68.6811540164	38.8882	-3.88888888889
-86.2986756322	33.7149	3.33333333333
-84.3475817624	35.8245	1.66666666667
-95.1068810928	34.4141	11.1111111111
-95.9025351578	37.2381	7.77777777778
-82.1154028042	37.2168	5.0
-68.7135228326	32.8516	6.66666666667
-82.1488743816	45.60444	-2.22222222222
-89.9924494493	48.7412	-12.2222222222
-80.4817296058	42.068	6.66666666667
-82.8548874527	44.5169	-3.88888888889
-85.8405140782	40.0822	-2.22222222222
-88.4177224041	31.6922	11.1111111111
-79.5332756875	32.0408	9.44444444444
-56.2871501283	43.1092	-15.0
-82.8712305315	32.8546	9.44444444444
-69.6062040111	31.8814	6.66666666667
-94.9133822131	41.8484	-6.66666666667
-88.1967734988	32.2395	14.4444444444
-88.3355309981	35.5037	3.33333333333
-88.8377236625	37.5174	-0.555555555556
-66.3034026537	30.07194	9.44444444444
-73.0809329709	32.8833	7.22222222222
-68.2287046064	31.7901	7.22222222222
-81.4927791027	37.3813	5.55555555556
-68.4755168305	31.9155	8.88888888889
-56.2707277142	43.1716	-15.0
-77.8157450411	30.6222	11.6666666667
-74.0083630257	41.5562	1.11111111111
-86.9573969106	37.2667	-1.11111111111
-65.5422515255	35.4945	0.555555555556
-93.2399620124	47.4174	-6.11111111111
-69.4909297708	33.2125	6.66666666667
-69.0628363084	31.1449	7.77777777778
-80.0990952898	38.8701	5.0
-72.8878307679	30.0918	9.44444444444
-88.5391848005	36.8637	3.88888888889
-89.6534495669	45.158	-5.0
-60.4901774545	42.4401	-18.3333333333
-65.4966337084	35.4185	1.11111111111
-85.5475286896	35.1188	-3.88888888889
-56.7575293238	41.4911	-8.88888888889
-76.814850467	28.3045	10.5555555556
-84.1921638431	38.811	2.77777777778
-89.8272732838	37.4572	4.44444444444
-58.5036206904	41.7857	-11.1111111111
-89.1232515296	35.7552	2.77777777778
-72.7684310902	37.6344	0.0
-56.7578466651	41.4782	-8.88888888889
-84.2100142932	37.7068	-13.8888888889
-68.2738464114	33.5721	3.88888888889
-81.4152684814	39.6553	7.22222222222
-86.7842078765	32.0095	11.1111111111
-87.7175880813	34.3983	2.77777777778
-83.1078878329	40.8066	3.33333333333
-86.0816141583	37.2553	1.66666666667
-81.0910725724	30.04806	10.5555555556
-85.0373231565	33.9795	-2.22222222222
-83.3718364892	39.0878	1.66666666667
-75.0376596494	37.4277	6.11111111111
-81.5360961951	33.9557	8.33333333333
-88.2950699777	38.3028	-1.11111111111
-84.3098181434	34.517	3.33333333333
-67.233918853	38.0945	-2.22222222222
-68.1983191734	34.2851	3.88888888889
-97.2705143224	40.6507	3.88888888889
-98.2266637681	47.5139	0.0
-81.8278122183	40.1551	7.22222222222
-76.6457075349	39.1027	10.0
-68.5408812123	31.30889	10.5555555556
-67.924612271	34.5653	3.33333333333
-80.6007326069	36.5993	8.88888888889
-67.2131329955	44.908	-11.1111111111
-89.2869203237	41.6163	-0.555555555556
-64.6262457588	30.8078	10.5555555556
-87.259109186	37.2507	1.66666666667
-64.5217611239	33.355	7.22222222222
-97.8408560388	44.4185	0.555555555556
-94.9214744172	44.556	-1.66666666667
-82.4943083595	36.7779	6.11111111111
-87.1837406186	34.8221	4.44444444444
-77.798846615	26.5258	18.8888888889
-86.2655134626	39.1018	1.11111111111
-83.5123393658	38.9105	-3.33333333333
-76.948443236	45.66889	-4.44444444444
-67.541739949	36.0138	1.11111111111
-62.9634564929	33.1532	7.22222222222
-89.2597876395	39.3872	5.0
-95.0602319164	37.7592	2.22222222222
-92.9372977131	36.602	9.44444444444
-73.7767831857	46.1135	-2.77777777778
-68.2282285944	34.6941	3.88888888889
-85.3713249127	40.948	0.0
-83.3828641006	48.3082	-8.88888888889
-88.4847607614	32.9918	12.7777777778
-78.9210449148	46.7702	-5.0
-96.349589765	48.5405	-1.11111111111
-78.7945288576	43.76667	1.11111111111
-83.4683875907	48.4887	-8.88888888889
-84.2310381567	38.0989	-9.44444444444
-75.9423204634	31.7796	11.1111111111
-89.3868828446	32.9649	13.3333333333
-97.6417243503	38.3208	7.77777777778
-98.6285765703	43.2718	3.33333333333
-68.4128419167	37.2504	-1.11111111111
-86.964616426	38.1402	0.0
-69.2138907844	32.4567	6.11111111111
-69.5294074078	34.7728	3.88888888889
-70.9533973183	34.8223	3.88888888889
-85.6063955075	36.0346	1.11111111111
-90.6080916413	39.0118	5.0
-67.4614763916	29.73333	10.0
-77.1306923653	37.74611	7.77777777778
-95.6502011943	41.49139	-3.88888888889
-59.8578748423	40.65083	-7.22222222222
-82.7467533924	38.76667	5.0
-79.0832063376	32.4105	12.7777777778
