0.021524115;0.030722436;0.03019014;-0.015002342
-0.018022521;0.044955288;0.046865409;0.051293092
-0.000765146;0.060284655;0.032905765;-0.000922572
0.000640685;0.080632939;0.092749333;0.035138277
0.033859998;0.053835551;0.009280735;0.029458347
-0.028118404;0.069386271;0.097978893;0.012796287
-0.019845134;0.043305978;0.006901052;0.028163183
0.00290647;0.054774669;0.027245089;-0.026711537
-0.015927364;0.057514411;-0.007126848;0.008892183
0.014549379;0.077805297;0.069793948;0.023732518
0.028960353;0.045196642;0.059624237;0.039307431
0.027409595;0.070678794;0.051793672;0.008720804
0.009530812;0.070164325;0.055009617;0.030681391
-0.011027717;0.03731311;0.059066496;-0.030960056
0.011285145;0.072100067;0.038649353;0.012118465
0.029005028;0.063199036;0.066070151;0.030995168
0.013718639;-0.001954908;0.042173548;0.01217691
0.050140207;0.077536964;0.062863672;0.017591257
0.026342299;0.100684817;0.091697556;0.039365448
0.036653375;0.068275356;0.081451129;-0.007028078
0.032359687;0.049086198;0.03125811;0.066255713
0.004832827;0.048334933;0.047197247;-0.038945864
-0.001776219;-0.000245395;0.03149219;0.019175618
0.037881836;0.04954941;0.054538021;0.043024105
0.01599443;0.033301357;0.062407563;0.012361302
0.058700253;0.078901777;0.069234985;0.021685393
0.074340828;0.031387031;0.031205109;0.033176652
0.053870764;0.061334114;0.100112898;0.08645991
0.077268459;0.020426058;0.050929536;0.043387391
0.023494805;0.039997049;0.061619247;0.068265182
0.022823522;0.017038199;0.003205086;0.045007447
0.037405655;0.029191846;0.029639648;0.068121106
0.01769251;0.049551798;0.029376709;0.035923141
0.04720871;0.051877075;0.048734306;0.081808259
0.013579561;0.038360527;0.011751373;0.047515811
0.029954601;0.042633275;0.035249628;0.057139881
0.001859151;0.050535076;0.026013199;0.052787636
-0.002914267;0.046725428;0.019791652;0.014635676
0.026016123;0.090470757;0.101392925;0.113013663
0.044599186;0.066619828;0.07039664;0.104625871
-0.013104305;0.035511349;0.034993708;0.047045552
0.01324997;0.053764548;0.073912699;0.033333886
-0.004121185;0.026329206;0.016697426;0.046132741
0.01585797;0.020895862;0.061713461;0.067141108
0.011397302;0.071006502;0.075343146;0.075373137
0.01725017;0.012561337;0.040064236;0.058318859
0.018497243;0.027607727;0.024425351;0.053178834
0.026324883;0.04666451;0.054245484;0.053504343
-0.010614485;0.01319634;0.04825895;0.015377006
0.017993716;0.014010301;0.052769583;0.051752203
-0.009561261;0.031363158;0.056051268;0.021531151
0.026769242;0.045798766;0.038195632;0.073481058
0.0106541;-0.016967403;0.026223132;0.031694552
0.017292199;0.035547807;0.047494394;0.044710252
-0.012670845;-0.013040827;0.037553084;0.030750924
-0.017398002;0.009128972;0.049390679;0.047266827
0.031502205;0.014224968;0.049358022;0.050207426
0.000238335;0.01646216;0.032933214;0.049426756
-0.00764798;0.014054609;0.05707453;0.023999434
-0.000604518;0.002574611;0.016530971;0.021508462
0.043030566;0.030026729;0.075426155;0.065764204
